0,14,0
0,36,0
0,37,0
0,65,0
0,93,0
1,22,1
1,28,1
1,37,1
1,85,1
1,91,1
2,56,2
2,71,2
2,92,2
2,98,2
3,5,0
3,15,0
3,31,0
3,33,0
3,36,0
3,57,0
3,78,0
3,95,0
4,6,1
4,22,1
4,53,1
4,67,1
4,82,1
5,17,2
5,44,2
5,53,2
5,83,2
6,12,0
6,17,0
6,78,0
6,84,0
7,78,1
7,88,1
7,97,1
8,35,2
8,65,2
8,66,2
8,68,2
8,89,2
8,95,2
9,68,0
9,86,0
10,19,1
10,61,1
11,23,2
12,24,0
12,84,0
13,71,1
13,73,1
13,75,1
14,35,2
14,62,2
14,87,2
15,18,0
15,39,0
15,42,0
15,59,0
15,60,0
15,78,0
16,55,1
16,76,1
16,97,1
17,20,2
17,32,2
17,38,2
17,41,2
17,74,2
17,86,2
18,51,0
18,52,0
18,72,0
20,24,2
20,44,2
20,74,2
22,36,1
23,50,2
23,56,2
23,71,2
24,26,0
24,33,0
24,36,0
24,57,0
24,63,0
24,66,0
24,69,0
24,87,0
24,96,0
24,99,0
25,46,1
25,79,1
25,85,1
26,44,2
26,65,2
26,92,2
27,56,0
27,60,0
29,59,2
29,83,2
30,33,0
30,42,0
30,54,0
30,93,0
31,36,1
31,73,1
33,38,0
33,90,0
33,96,0
34,64,1
34,82,1
34,97,1
35,59,2
35,92,2
36,45,0
36,54,0
37,70,1
38,98,2
39,72,0
40,61,1
40,88,1
40,94,1
40,97,1
41,47,2
41,70,2
42,66,0
43,55,1
44,98,2
45,48,0
46,49,1
46,52,1
46,58,1
46,91,1
48,57,0
49,58,1
49,61,1
49,81,1
49,92,1
50,80,2
50,83,2
51,60,0
51,96,0
51,99,0
53,71,2
54,81,0
54,93,0
55,85,1
56,68,2
56,74,2
56,95,2
57,90,0
59,72,2
61,70,1
61,85,1
62,83,2
64,91,1
67,79,1
69,96,0
70,73,1
70,78,1
71,74,2
71,89,2
72,81,0
72,87,0
73,97,1
76,88,1
77,80,2
80,86,2
80,95,2
82,88,1
88,97,1
89,92,2
