1,15,423
1,18,960
1,6,592
1,19,487
2,19,137
2,17,75
2,1,668
2,6,102
2,7,413
3,8,744
3,12,88
3,11,400
4,1,975
4,3,456
4,17,592
4,6,330
4,17,332
4,15,590
5,12,476
5,10,404
5,9,408
6,7,538
6,7,4
6,1,573
6,20,606
6,20,816
6,11,136
7,12,145
7,13,268
7,4,108
7,19,187
7,19,319
7,4,898
8,5,639
8,1,697
8,13,845
8,1,888
8,15,363
8,11,819
8,3,590
9,13,151
9,13,163
9,1,250
9,17,172
9,19,281
9,17,202
9,16,443
9,16,77
10,18,142
10,11,694
10,19,119
10,14,630
10,14,550
11,9,280
11,13,888
11,7,434
11,13,711
11,10,729
11,4,605
12,2,764
12,10,448
12,15,133
12,11,495
13,11,288
13,15,37
13,18,273
13,12,164
14,3,549
14,20,905
14,7,552
14,7,927
15,8,768
15,3,467
15,14,395
15,4,464
15,19,291
15,12,17
15,12,210
15,10,182
16,3,9
16,4,579
16,3,817
16,6,657
16,19,581
16,18,638
16,1,88
16,2,99
17,16,681
17,11,693
17,19,576
18,16,624
18,13,475
18,5,887
18,8,888
18,14,314
19,1,54
19,16,263
19,14,646
20,1,885
20,16,349
